"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"1",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"2",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"3",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"4",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"5",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"6",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"7",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"8",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"9",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"10",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"11",NA,"Afghanistan","AFG",0,22,38928341,0,5.65140959898599e-07,0
"12",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"13",NA,"Afghanistan","AFG",4,166,38928341,1.02752901799745e-07,4.26424542468943e-06,0.0240963855421687
"14",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"15",NA,"Afghanistan","AFG",4,192,38928341,1.02752901799745e-07,4.93213928638778e-06,0.0208333333333333
"16",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"17",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"18",NA,"Afghanistan","AFG",0,24,38928341,0,6.16517410798472e-07,0
"19",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"20",NA,"Afghanistan","AFG",4,235,38928341,1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"21",NA,"Afghanistan","AFG",0,24,38928341,0,6.16517410798472e-07,0
"22",NA,"Afghanistan","AFG",4,141,38928341,1.02752901799745e-07,3.62203978844102e-06,0.0283687943262411
"23",NA,"Afghanistan","AFG",4,114,38928341,1.02752901799745e-07,2.92845770129274e-06,0.0350877192982456
"24",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"25",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"26",NA,"Afghanistan","AFG",0,22,38928341,0,5.65140959898599e-07,0
"27",NA,"Afghanistan","AFG",0,21,38928341,0,5.39452734448663e-07,0
"28",NA,"Afghanistan","AFG",21,665,38928341,5.39452734448663e-07,1.70826699242077e-05,0.0315789473684211
"29",NA,"Afghanistan","AFG",0,22,38928341,0,5.65140959898599e-07,0
"30",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"31",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"32",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"33",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"34",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"35",NA,"Afghanistan","AFG",3,106,38928341,7.7064676349809e-08,2.72295189769325e-06,0.0283018867924528
"36",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"37",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"38",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"39",NA,"Afghanistan","AFG",0,16,38928341,0,4.11011607198981e-07,0
"40",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"41",NA,"Afghanistan","AFG",0,7,38928341,0,1.79817578149554e-07,0
"42",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"43",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"44",NA,"Afghanistan","AFG",4,235,38928341,1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"45",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"46",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"47",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"48",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"49",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"50",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"51",NA,"Afghanistan","AFG",1,75,38928341,2.56882254499363e-08,1.92661690874522e-06,0.0133333333333333
"52",NA,"Afghanistan","AFG",1,42,38928341,2.56882254499363e-08,1.07890546889733e-06,0.0238095238095238
"53",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"54",NA,"Afghanistan","AFG",15,484,38928341,3.85323381749045e-07,1.24331011177692e-05,0.0309917355371901
"55",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"56",NA,"Afghanistan","AFG",23,714,38928341,5.90829185348536e-07,1.83413929712545e-05,0.0322128851540616
"57",NA,"Afghanistan","AFG",25,784,38928341,6.42205636248408e-07,2.01395687527501e-05,0.0318877551020408
"58",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"59",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"60",NA,"Afghanistan","AFG",5,270,38928341,1.28441127249682e-07,6.93582087148281e-06,0.0185185185185185
"61",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"62",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"63",NA,"Afghanistan","AFG",11,367,38928341,2.825704799493e-07,9.42757874012663e-06,0.0299727520435967
"64",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
