"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"1","Afghanistan",2020-04-15,23,714,38928341,"AFG",5.90829185348536e-07,1.83413929712545e-05,0.0322128851540616
"2","Afghanistan",2020-04-03,4,235,38928341,"AFG",1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"3","Afghanistan",2020-04-01,4,166,38928341,"AFG",1.02752901799745e-07,4.26424542468943e-06,0.0240963855421687
"4","Afghanistan",2020-04-11,15,521,38928341,"AFG",3.85323381749045e-07,1.33835654594168e-05,0.0287907869481766
"5","Afghanistan",2020-04-04,4,235,38928341,"AFG",1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"6","Afghanistan",2020-04-14,21,665,38928341,"AFG",5.39452734448663e-07,1.70826699242077e-05,0.0315789473684211
"7","Afghanistan",2020-04-16,25,784,38928341,"AFG",6.42205636248408e-07,2.01395687527501e-05,0.0318877551020408
"8","Afghanistan",2020-04-22,36,1092,38928341,"AFG",9.24776116197708e-07,2.80515421913305e-05,0.032967032967033
"9","Afghanistan",2020-03-31,4,141,38928341,"AFG",1.02752901799745e-07,3.62203978844102e-06,0.0283687943262411
"10","Afghanistan",2020-04-10,15,484,38928341,"AFG",3.85323381749045e-07,1.24331011177692e-05,0.0309917355371901
"11","Afghanistan",2020-04-02,4,192,38928341,"AFG",1.02752901799745e-07,4.93213928638778e-06,0.0208333333333333
"12","Afghanistan",2020-04-20,33,996,38928341,"AFG",8.47711439847899e-07,2.55854725481366e-05,0.0331325301204819
"13","Afghanistan",2020-04-05,5,270,38928341,"AFG",1.28441127249682e-07,6.93582087148281e-06,0.0185185185185185
"14","Afghanistan",2020-04-13,18,607,38928341,"AFG",4.62388058098854e-07,1.55927528481114e-05,0.0296540362438221
"15","Afghanistan",2020-03-30,4,114,38928341,"AFG",1.02752901799745e-07,2.92845770129274e-06,0.0350877192982456
"16","Afghanistan",2020-04-17,29,794,38928341,"AFG",7.44958538048154e-07,2.03964510072494e-05,0.0365239294710327
"17","Afghanistan",2020-04-21,35,1031,38928341,"AFG",8.99087890747772e-07,2.64845604388844e-05,0.0339476236663434
"18","Afghanistan",2020-04-06,7,299,38928341,"AFG",1.79817578149554e-07,7.68077940953096e-06,0.0234113712374582
"19","Afghanistan",2020-04-12,18,555,38928341,"AFG",4.62388058098854e-07,1.42569651247147e-05,0.0324324324324324
"20","Afghanistan",2020-03-28,2,91,38928341,"AFG",5.13764508998727e-08,2.33762851594421e-06,0.021978021978022
"21","Afghanistan",2020-03-25,1,42,38928341,"AFG",2.56882254499363e-08,1.07890546889733e-06,0.0238095238095238
"22","Afghanistan",2020-03-24,1,40,38928341,"AFG",2.56882254499363e-08,1.02752901799745e-06,0.025
"23","Afghanistan",2020-03-29,3,106,38928341,"AFG",7.7064676349809e-08,2.72295189769325e-06,0.0283018867924528
"24","Afghanistan",2020-04-09,14,423,38928341,"AFG",3.59635156299109e-07,1.08661193653231e-05,0.033096926713948
"25","Afghanistan",2020-03-27,1,75,38928341,"AFG",2.56882254499363e-08,1.92661690874522e-06,0.0133333333333333
