"","Entity","Date","Total.tests","Total.confirmed.cases.of.COVID.19..cases.","PopTotal","Code","PerCapita.Testing","PerCapita.Infection","COVID.Positive"
"1","Afghanistan",2020-04-11,NA,521,38928341,"AFG",NA,1.33835654594168e-05,NA
"2","Afghanistan",2020-04-17,NA,794,38928341,"AFG",NA,2.03964510072494e-05,NA
"3","Afghanistan",2020-04-04,NA,235,38928341,"AFG",NA,6.03673298073504e-06,NA
"4","Afghanistan",2020-04-15,NA,714,38928341,"AFG",NA,1.83413929712545e-05,NA
"5","Afghanistan",2020-04-12,NA,555,38928341,"AFG",NA,1.42569651247147e-05,NA
"6","Afghanistan",2020-04-14,NA,665,38928341,"AFG",NA,1.70826699242077e-05,NA
"7","Afghanistan",2020-04-13,NA,607,38928341,"AFG",NA,1.55927528481114e-05,NA
"8","Afghanistan",2020-04-18,NA,845,38928341,"AFG",NA,2.17065505051962e-05,NA
"9","Afghanistan",2020-04-01,NA,166,38928341,"AFG",NA,4.26424542468943e-06,NA
"10","Afghanistan",2020-04-02,NA,192,38928341,"AFG",NA,4.93213928638778e-06,NA
"11","Afghanistan",2020-04-08,NA,367,38928341,"AFG",NA,9.42757874012663e-06,NA
"12","Afghanistan",2020-04-09,NA,423,38928341,"AFG",NA,1.08661193653231e-05,NA
"13","Afghanistan",2020-04-05,NA,270,38928341,"AFG",NA,6.93582087148281e-06,NA
"14","Afghanistan",2020-04-16,NA,784,38928341,"AFG",NA,2.01395687527501e-05,NA
"15","Afghanistan",2020-04-20,NA,996,38928341,"AFG",NA,2.55854725481366e-05,NA
"16","Afghanistan",2020-04-21,NA,1031,38928341,"AFG",NA,2.64845604388844e-05,NA
"17","Afghanistan",2020-04-10,NA,484,38928341,"AFG",NA,1.24331011177692e-05,NA
"18","Afghanistan",2020-04-03,NA,235,38928341,"AFG",NA,6.03673298073504e-06,NA
"19","Afghanistan",2020-04-07,NA,337,38928341,"AFG",NA,8.65693197662854e-06,NA
"20","Afghanistan",2020-03-31,NA,141,38928341,"AFG",NA,3.62203978844102e-06,NA
"21","Afghanistan",2020-04-06,NA,299,38928341,"AFG",NA,7.68077940953096e-06,NA
"22","Afghanistan",2020-04-22,NA,1092,38928341,"AFG",NA,2.80515421913305e-05,NA
"23","Afghanistan",2020-04-19,NA,908,38928341,"AFG",NA,2.33249087085422e-05,NA
"24","Africa",2020-04-08,NA,10524,1340598113,"",NA,7.85022737086308e-06,NA
"25","Africa",2020-04-04,NA,7508,1340598113,"",NA,5.60048528130369e-06,NA
"26","Africa",2020-04-03,NA,6883,1340598113,"",NA,5.13427546499911e-06,NA
"27","Africa",2020-04-22,NA,24617,1340598113,"",NA,1.83626992767519e-05,NA
"28","Africa",2020-04-07,NA,9802,1340598113,"",NA,7.31166179106803e-06,NA
"29","Africa",2020-04-20,NA,22303,1340598113,"",NA,1.66366040528658e-05,NA
"30","Africa",2020-04-19,NA,21057,1340598113,"",NA,1.5707168163081e-05,NA
"31","Africa",2020-04-09,NA,11446,1340598113,"",NA,8.5379800918756e-06,NA
"32","Africa",2020-04-01,NA,5626,1340598113,"",NA,4.19663428244733e-06,NA
"33","Africa",2020-04-18,NA,19897,1340598113,"",NA,1.48418827440196e-05,NA
"34","Africa",2020-04-13,NA,14522,1340598113,"",NA,1.08324783238002e-05,NA
"35","Africa",2020-04-05,NA,8440,1340598113,"",NA,6.29569735937708e-06,NA
"36","Africa",2020-04-06,NA,9175,1340598113,"",NA,6.84396010335127e-06,NA
"37","Africa",2020-04-17,NA,18329,1340598113,"",NA,1.36722555568747e-05,NA
"38","Africa",2020-04-14,NA,15291,1340598113,"",NA,1.14061028817814e-05,NA
"39","Africa",2020-04-10,NA,12280,1340598113,"",NA,9.16009047075244e-06,NA
"40","Africa",2020-04-21,NA,23267,1340598113,"",NA,1.7355686073534e-05,NA
"41","Africa",2020-04-16,NA,17243,1340598113,"",NA,1.28621693800639e-05,NA
"42","Africa",2020-03-31,NA,5137,1340598113,"",NA,3.83187172217062e-06,NA
"43","Africa",2020-04-11,NA,12952,1340598113,"",NA,9.66135926524313e-06,NA
"44","Africa",2020-04-15,NA,16281,1340598113,"",NA,1.21445792308079e-05,NA
"45","Africa",2020-04-02,NA,6248,1340598113,"",NA,4.66060629163365e-06,NA
"46","Africa",2020-04-12,NA,13666,1340598113,"",NA,1.01939573593895e-05,NA
"47","Albania",2020-04-19,NA,548,2877800,"ALB",NA,0.000190423239974981,NA
"48","Albania",2020-04-04,NA,304,2877800,"ALB",NA,0.000105636249913128,NA
"49","Albania",2020-04-17,NA,518,2877800,"ALB",NA,0.000179998610049343,NA
"50","Albania",2020-04-22,NA,609,2877800,"ALB",NA,0.000211619987490444,NA
"51","Albania",2020-04-05,NA,333,2877800,"ALB",NA,0.000115713392174578,NA
"52","Albania",2020-04-20,NA,562,2877800,"ALB",NA,0.000195288067273612,NA
"53","Albania",2020-03-31,NA,223,2877800,"ALB",NA,7.74897491139065e-05,NA
"54","Albania",2020-04-07,NA,377,2877800,"ALB",NA,0.000131002849398846,NA
"55","Albania",2020-04-16,NA,494,2877800,"ALB",NA,0.000171658906108833,NA
"56","Albania",2020-04-15,NA,475,2877800,"ALB",NA,0.000165056640489263,NA
"57","Albania",2020-04-21,NA,584,2877800,"ALB",NA,0.000202932795885746,NA
"58","Albania",2020-04-06,NA,361,2877800,"ALB",NA,0.00012544304677184,NA
"59","Albania",2020-04-18,NA,539,2877800,"ALB",NA,0.00018729585099729,NA
"60","Albania",2020-04-09,NA,400,2877800,"ALB",NA,0.000138995065675169,NA
"61","Albania",2020-04-02,NA,259,2877800,"ALB",NA,8.99993050246716e-05,NA
"62","Albania",2020-04-10,NA,409,2877800,"ALB",NA,0.00014212245465286,NA
"63","Albania",2020-04-03,NA,277,2877800,"ALB",NA,9.62540829800542e-05,NA
"64","Albania",2020-04-14,NA,467,2877800,"ALB",NA,0.000162276739175759,NA
"65","Albania",2020-04-08,NA,383,2877800,"ALB",NA,0.000133087775383974,NA
"66","Albania",2020-04-12,NA,433,2877800,"ALB",NA,0.00015046215859337,NA
"67","Albania",2020-04-01,NA,243,2877800,"ALB",NA,8.44395023976649e-05,NA
"68","Albania",2020-04-11,NA,416,2877800,"ALB",NA,0.000144554868302175,NA
"69","Albania",2020-04-13,NA,446,2877800,"ALB",NA,0.000154979498227813,NA
"70","Algeria",2020-04-14,NA,1983,43851043,"DZA",NA,4.52212733001585e-05,NA
"71","Algeria",2020-04-12,NA,1825,43851043,"DZA",NA,4.16181662999441e-05,NA
"72","Algeria",2020-04-11,NA,1761,43851043,"DZA",NA,4.01586799201105e-05,NA
"73","Algeria",2020-04-08,NA,1468,43851043,"DZA",NA,3.34769688374345e-05,NA
"74","Algeria",2020-04-15,NA,2070,43851043,"DZA",NA,4.72052625977448e-05,NA
"75","Algeria",2020-03-31,NA,584,43851043,"DZA",NA,1.33178132159821e-05,NA
"76","Algeria",2020-04-13,NA,1914,43851043,"DZA",NA,4.36477645469003e-05,NA
"77","Algeria",2020-04-22,NA,2811,43851043,"DZA",NA,6.41033783392564e-05,NA
"78","Algeria",2020-04-04,NA,1171,43851043,"DZA",NA,2.67040398560189e-05,NA
"79","Algeria",2020-04-02,NA,847,43851043,"DZA",NA,1.9315390058111e-05,NA
"80","Algeria",2020-04-07,NA,1423,43851043,"DZA",NA,3.2450767476614e-05,NA
"81","Algeria",2020-04-17,NA,2268,43851043,"DZA",NA,5.17205485853552e-05,NA
"82","Algeria",2020-04-10,NA,1666,43851043,"DZA",NA,3.79922548250449e-05,NA
"83","Algeria",2020-04-01,NA,716,43851043,"DZA",NA,1.6328003874389e-05,NA
"84","Algeria",2020-04-06,NA,1320,43851043,"DZA",NA,3.01019065840692e-05,NA
"85","Algeria",2020-04-16,NA,2160,43851043,"DZA",NA,4.92576653193859e-05,NA
"86","Algeria",2020-04-18,NA,2418,43851043,"DZA",NA,5.51412197880903e-05,NA
"87","Algeria",2020-04-21,NA,2718,43851043,"DZA",NA,6.19825621935606e-05,NA
"88","Algeria",2020-04-09,NA,1572,43851043,"DZA",NA,3.58486342046642e-05,NA
"89","Algeria",2020-04-05,NA,1251,43851043,"DZA",NA,2.8528397830811e-05,NA
"90","Algeria",2020-04-03,NA,986,43851043,"DZA",NA,2.24852120393123e-05,NA
"91","Algeria",2020-04-19,NA,2535,43851043,"DZA",NA,5.78093433262237e-05,NA
"92","Algeria",2020-04-20,NA,2629,43851043,"DZA",NA,5.99529639466044e-05,NA
"93","Andorra",2020-04-09,NA,564,77265,"AND",NA,0.00729955348476024,NA
"94","Andorra",2020-04-21,NA,717,77265,"AND",NA,0.00927975150456222,NA
"95","Andorra",2020-04-08,NA,545,77265,"AND",NA,0.0070536465411247,NA
"96","Andorra",2020-04-10,NA,583,77265,"AND",NA,0.00754546042839578,NA
"97","Andorra",2020-04-04,NA,439,77265,"AND",NA,0.00568174464505274,NA
"98","Andorra",2020-04-06,NA,501,77265,"AND",NA,0.00648417782954766,NA
"99","Andorra",2020-04-05,NA,466,77265,"AND",NA,0.00603119135442956,NA
"100","Andorra",2020-04-02,NA,390,77265,"AND",NA,0.0050475635798874,NA
"101","Andorra",2020-04-07,NA,526,77265,"AND",NA,0.00680773959748916,NA
"102","Andorra",2020-04-15,NA,659,77265,"AND",NA,0.00852908820293794,NA
"103","Andorra",2020-04-11,NA,601,77265,"AND",NA,0.00777842490131366,NA
"104","Andorra",2020-04-18,NA,696,77265,"AND",NA,0.00900795961949136,NA
"105","Andorra",2020-04-12,NA,622,77265,"AND",NA,0.00805021678638452,NA
"106","Andorra",2020-04-03,NA,428,77265,"AND",NA,0.00553937746715848,NA
"107","Andorra",2020-04-14,NA,646,77265,"AND",NA,0.00836083608360836,NA
"108","Andorra",2020-04-01,NA,376,77265,"AND",NA,0.00486636898984016,NA
"109","Andorra",2020-04-16,NA,673,77265,"AND",NA,0.00871028279298518,NA
"110","Andorra",2020-04-13,NA,638,77265,"AND",NA,0.00825729631786708,NA
"111","Andorra",2020-04-20,NA,713,77265,"AND",NA,0.00922798162169158,NA
"112","Andorra",2020-04-17,NA,682,77265,"AND",NA,0.00882676502944412,NA
"113","Andorra",2020-03-31,NA,370,77265,"AND",NA,0.0047887141655342,NA
"114","Andorra",2020-04-22,NA,717,77265,"AND",NA,0.00927975150456222,NA
"115","Andorra",2020-04-19,NA,704,77265,"AND",NA,0.00911149938523264,NA
"116","Angola",2020-03-31,NA,7,32866268,"AGO",NA,2.12984327882922e-07,NA
"117","Angola",2020-04-17,NA,19,32866268,"AGO",NA,5.78100318539361e-07,NA
"118","Angola",2020-04-14,NA,19,32866268,"AGO",NA,5.78100318539361e-07,NA
"119","Angola",2020-04-03,NA,8,32866268,"AGO",NA,2.43410660437626e-07,NA
"120","Angola",2020-04-06,NA,14,32866268,"AGO",NA,4.25968655765845e-07,NA
"121","Angola",2020-04-01,NA,7,32866268,"AGO",NA,2.12984327882922e-07,NA
